Model,Type of questions,Accuracy1 (for present questions),Accuracy2 (for all questions),No words in vocabulary,Number of questions,Number of present questions
news_lowercased_lemmatized_word2vec_300d,adjective-adverb,44.3548387097,40.0624349636,,961,868
news_lowercased_lemmatized_word2vec_300d,opposite,37.0927318296,23.68,,625,399
news_lowercased_lemmatized_word2vec_300d,verb,,,+,785,0
news_lowercased_lemmatized_word2vec_300d,country-capital,,,+,4271,0
news_lowercased_lemmatized_word2vec_300d,family,57.5851393189,46.5,,400,323
news_lowercased_lemmatized_word2vec_300d,country-region,,,+,2038,0
news_lowercased_lemmatized_word2vec_300d,currency,,,+,729,0
news_lowercased_lemmatized_word2vec_300d,singular-plural,1.4285714286,0.0816326531,,1225,70
news_lowercased_lemmatized_word2vec_300d,supperlative,63.734115347,59.8714416896,,1089,1023
news_lowercased_lemmatized_word2vec_300d,all,49.373433584,8.2182637353,,23971,3990
news_lowercased_tokenized_glove_word_300d,past,61.5835777126,57.8512396694,,1089,1023
news_lowercased_tokenized_glove_word_300d,country-nationality,11.5246957767,1.5542040738,,10359,1397
news_lowercased_tokenized_glove_word_300d,comparative,34.3333333333,25.75,,400,300
news_lowercased_tokenized_glove_word_300d,adjective-adverb,14.9425287356,13.5275754422,,961,870
news_lowercased_tokenized_glove_word_300d,opposite,20,14.72,,625,460
news_lowercased_tokenized_glove_word_300d,verb,70.6632653061,70.5732484076,,785,784
news_lowercased_tokenized_glove_word_300d,country-capital,,,+,4271,0
news_lowercased_tokenized_glove_word_300d,family,55.25,55.25,,400,400
news_lowercased_tokenized_glove_word_300d,country-region,,,+,2038,0
news_lowercased_tokenized_glove_word_300d,currency,,,+,729,0
news_lowercased_tokenized_glove_word_300d,singular-plural,28,28,,1225,1225
news_lowercased_tokenized_glove_word_300d,supperlative,15.9090909091,13.4986225895,,1089,924
news_lowercased_tokenized_glove_word_300d,all,32.249762969,9.9328355096,,23971,7383
news_cased_tokenized_glove_word_300d,past,65.2003910068,61.2488521579,,1089,1023
news_cased_tokenized_glove_word_300d,country-nationality,14.8550724638,3.9579109953,,10359,2760
news_cased_tokenized_glove_word_300d,comparative,39.3333333333,29.5,,400,300
news_cased_tokenized_glove_word_300d,adjective-adverb,14.367816092,13.0072840791,,961,870
news_cased_tokenized_glove_word_300d,opposite,19.5652173913,14.4,,625,460
news_cased_tokenized_glove_word_300d,verb,73.4693877551,73.3757961783,,785,784
news_cased_tokenized_glove_word_300d,country-capital,23.6917221694,17.4900491688,,4271,3153
news_cased_tokenized_glove_word_300d,family,59.5,59.5,,400,400
news_cased_tokenized_glove_word_300d,country-region,48.1813652217,47.4484789009,,2038,2007
news_cased_tokenized_glove_word_300d,currency,2.4074074074,1.7832647462,,729,540
news_cased_tokenized_glove_word_300d,singular-plural,27.5102040816,27.5102040816,,1225,1225
news_cased_tokenized_glove_word_300d,supperlative,14.9184149184,11.753902663,,1089,858
news_cased_tokenized_glove_word_300d,all,30.7093184979,18.4222602311,,23971,14380
